State,Latitude,Longitude,Total reported direct emissions
TX,33.30,-96.54,314493.75
KY,37.27,-83.24,112348.75
NY,40.66,-74.00,46081.78
IL,41.83,-87.92,7750.748
TX,31.67,-99.00,28243.244
MN,44.95,-93.00,82787.508
AL,33.97,-87.90,31129.936
WI,44.95,-89.64,41219.744
AL,34.64,-87.04,45773.58156
IL,41.76,-90.28,687525.6494
MN,44.79,-92.91,73720.28917
AR,34.71,-92.25,32655.028
MN,44.88,-94.36,36926.26
MO,37.83,-94.33,34006.772
NC,35.66,-79.18,29339.24
MI,42.76,-86.09,38254.66
FL,25.83,-80.35,60334.5
NY,40.77,-73.99,180185.666
NY,40.77,-73.95,195068.358
IN,37.91,-87.72,3077205.934
FL,28.74,-82.09,255049.25
MI,46.79,-88.62,119056.152
IL,42.30,-87.89,56477.688
PR,18.43,-66.57,61957.898
AL,33.58,-86.78,175860.388
SD,45.44,-98.79,190887.632
MD,39.48,-76.14,98481.41
IA,43.50,-92.92,147591.632
LA,30.26,-92.53,45791.5
WI,44.96,-90.96,75318.816
TX,30.33,-97.29,24461.508
TX,34.32,-99.82,37011.56
MI,42.93,-85.43,104600.056
LA,32.01,-93.39,273324.876
IL,42.36,-89.80,90388.16
MN,44.19,-94.00,128883.532
IA,41.82,-90.21,2114570.57
IA,41.92,-91.69,2754252.748
MO,37.81,-94.59,41564.144
OH,41.15,-83.43,27869.194
IL,39.90,-91.41,95857.538
TN,35.00,-85.32,30243.836
IA,41.63,-93.58,147313.24
NC,33.95,-78.00,65370.002
GA,30.83,-83.25,61373.626
MI,41.89,-84.06,8227.5
AL,33.68,-86.25,19703.25
GA,30.81,-83.36,160012.5
AL,33.61,-86.51,36608.25
IL,40.47,-89.03,3493.25
WI,44.41,-89.85,24192.496
MO,39.73,-92.54,30997.5
MO,38.56,-90.53,11405.25
IL,42.14,-89.09,164238.398
IL,39.82,-89.04,42379.948
VA,37.34,-77.29,59228.576
VA,37.18,-77.16,1206917.816
PR,17.95,-66.15,3795966.434
CA,33.77,-118.10,1512393.796
HI,21.30,-158.11,1068811.398
CA,33.64,-117.98,1501324.036
